DOY,Flux_mmol
214,6.488268444
215,8.770264
216,8.264524444
217,6.525273778
218,8.992296
219,7.931476444
220,4.341959111
221,4.675007111
222,4.909374222
223,6.66096
224,6.882992
230,7.684774222
231,7.376396444
232,9.251333333
233,8.646912889
234,8.363205333
235,6.525273778
236,8.252189333
237,7.228375111
238,8.757928889
239,10.23814222
240,8.967625778
241,8.252189333
242,9.424024889
243,7.068018667
244,6.401922667
245,6.426592889
246,7.857465778
247,7.672439111
248,7.191369778
249,7.869800889
250,8.202848889
251,8.498891556
252,7.869800889
253,5.661816
254,2.738394667
255,1.603564444