DOY,theta01,theta2,theta3,theta4
146,0.213,0.194,0.142,0.119
152,0.212,0.219,0.145,0.119
157,0.132,0.215,0.152,0.125
159,0.21,0.226,0.161,0.126
160,0.242,0.229,0.172,0.126
165,0.148,0.212,0.165,0.136
167,0.218,0.227,0.173,0.143
170,0.148,0.213,0.17,0.143
172,0.218,0.226,0.17,0.145
176,0.148,0.14,0.165,0.16
178,0.186,0.213,0.183,0.166
180,0.132,0.181,0.17,0.167
185,0.109,0.154,0.168,0.165
187,0.177,0.225,0.178,0.169
192,0.197,0.205,0.182,0.171
194,0.133,0.16,0.168,0.169
199,0.199,0.172,0.173,0.17
201,0.245,0.227,0.178,0.166
204,0.111,0.142,0.161,0.163
206,0.24,0.242,0.182,0.169
208,0.159,0.191,0.173,0.164
213,0.145,0.168,0.168,0.164
215,0.242,0.229,0.183,0.168
218,0.126,0.154,0.168,0.164
220,0.236,0.218,0.171,0.159
222,0.165,0.18,0.172,0.159
227,0.154,0.181,0.17,0.162
229,0.235,0.218,0.179,0.168
233,0.129,0.161,0.166,0.16
235,0.234,0.219,0.177,0.165
240,0.118,0.139,0.158,0.151
242,0.239,0.219,0.174,0.156
248,0.115,0.142,0.159,0.152
250,0.241,0.226,0.175,0.158
255,0.122,0.163,0.158,0.152
256,0.215,0.179,0.159,0.151
258,0.246,0.228,0.18,0.159
262,0.161,0.191,0.167,0.158
269,0.162,0.161,0.157,0.151